product_code,manifest_main_category_slug,manifest_subcategory_slug,final_main_category_slug,final_subcategory_slug,notes
HBS-354,plates,dinner-plates,plates,dinner-plates,
HBS-355,plates,snack-plates,plates,snack-plates,
HBS-356,plates,dinner-plates,plates,dinner-plates,
HBS-357,bowls,serving-bowls,bowls,serving-bowls,
HBS-358,bowls,serving-bowls,bowls,serving-bowls,
HBS-359,bowls,serving-bowls,bowls,serving-bowls,
HBS-360,bowls,soup-bowls,bowls,soup-bowls,
HBS-361,bowls,snack-bowls,bowls,snack-bowls,
HBS-362,bowls,snack-bowls,bowls,snack-bowls,
HBS-363,bowls,snack-bowls,bowls,snack-bowls,
HJS-419,jar-storage,,jar-storage,,Blank Jar & Storage subcategory kept as null because products.subcategory_id is nullable.
HJS-420,jar-storage,,jar-storage,,Blank Jar & Storage subcategory kept as null because products.subcategory_id is nullable.
HJS-421,jar-storage,,jar-storage,,Blank Jar & Storage subcategory kept as null because products.subcategory_id is nullable.
HTC-260,tea-coffee-sets,cup-saucer-sets,tea-coffee-sets,cup-saucer-sets,
HTC-261,tea-coffee-sets,cup-saucer-sets,tea-coffee-sets,cup-saucer-sets,
HTC-262,cups-mugs,premium-ceramic-mugs,cups-mugs,premium-ceramic-mugs,
HTC-263,cups-mugs,premium-ceramic-mugs,cups-mugs,premium-ceramic-mugs,
HTC-264,tea-coffee-sets,cup-saucer-sets,tea-coffee-sets,cup-saucer-sets,
HTC-265,tea-coffee-sets,cup-saucer-sets,tea-coffee-sets,cup-saucer-sets,
HBS-364,bowls,serving-bowls,bowls,serving-bowls,
HBS-365,bowls,serving-bowls,bowls,serving-bowls,
HBS-366,bowls,bowl-sets,bowls,ceramic-bowl-sets,Mapped Bowl Sets to existing Ceramic Bowl Sets.
HBS-367,plates,serving-plates,plates,serving-plates,
HBS-368,bowls,serving-bowls,bowls,serving-bowls,
HBS-369,plates,serving-plates,plates,serving-plates,
HBS-370,plates,serving-plates,plates,serving-plates,
HBS-371,bowls,serving-bowls,bowls,serving-bowls,
HBS-372,bowls,bowl-sets,bowls,ceramic-bowl-sets,Mapped Bowl Sets to existing Ceramic Bowl Sets.
HBS-373,bowls,bowl-sets,bowls,ceramic-bowl-sets,Mapped Bowl Sets to existing Ceramic Bowl Sets.
HBS-374,bowls,bowl-sets,bowls,ceramic-bowl-sets,Mapped Bowl Sets to existing Ceramic Bowl Sets.
HBS-375,bowls,bowl-sets,bowls,ceramic-bowl-sets,Mapped Bowl Sets to existing Ceramic Bowl Sets.
HGD-429,glassware-drinkware,decorative-glassware,glassware-drinkware,decorative-glassware,
